chart,country,fiscal_year,value,center,lcl,ucl,sigma,robust_z,n_baseline,rule,severity,explanation,abs_z,incident_id
A_level,Haiti,2025,161221460.0,76046764.6,266245.96151797473,151827283.238482,25260172.879494008,3.37189677229581,10,beyond_limits,medium,"Haiti FY2025: disbursement of $161,221,460 is above the expected range $266,246 to $151,827,283 (learned from FY2010-2019, where a typical year was $76,046,765); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $151,827,283 limit.",3.37189677229581,
A_level,Lao People's Democratic Republic,2023,105021961.5,57412168.385000005,14893084.250689976,99931252.51931003,14173028.04477001,3.3591828764191636,10,beyond_limits,medium,"Lao People's Democratic Republic FY2023: disbursement of $105,021,962 is above the expected range $14,893,084 to $99,931,253 (learned from FY2010-2019, where a typical year was $57,412,168); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $99,931,253 limit.",3.3591828764191636,
A_level,Papua New Guinea,2025,58243774.7,26199986.33,0.0,54908784.83159301,9569599.500531003,3.34849837427595,10,beyond_limits,medium,"Papua New Guinea FY2025: disbursement of $58,243,775 is above the expected range $0 to $54,908,785 (learned from FY2010-2019, where a typical year was $26,199,986); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the $54,908,785 limit.",3.34849837427595,
A_level,Tonga,2022,32403664.74,12328193.559999999,0.0,30330700.087179992,6000835.509059997,3.3454460049255252,10,beyond_limits,medium,"Tonga FY2022: disbursement of $32,403,665 is above the expected range $0 to $30,330,700 (learned from FY2010-2019, where a typical year was $12,328,194); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the $30,330,700 limit.",3.3454460049255252,
A_level,Bolivia,2025,23480851.36,51713522.18,26307378.857447006,77119665.50255299,8468714.440850997,-3.3337611059138483,10,beyond_limits,medium,"Bolivia FY2025: disbursement of $23,480,851 is below the expected range $26,307,379 to $77,119,666 (learned from FY2010-2019, where a typical year was $51,713,522); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the $26,307,379 limit.",3.3337611059138483,
A_level,Pakistan,2021,1558856391.0,680802437.15,0.0,1471532179.4875698,263576580.77918994,3.3313048953525413,10,beyond_limits,medium,"Pakistan FY2021: disbursement of $1,558,856,391 is above the expected range $0 to $1,471,532,179 (learned from FY2010-2019, where a typical year was $680,802,437); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the $1,471,532,179 limit.",3.3313048953525413,
A_level,"Yemen, Republic of",2024,479197587.5,144776561.0,0.0,446381646.669167,100535028.55638899,3.3264130055170464,10,beyond_limits,medium,"Yemen, Republic of FY2024: disbursement of $479,197,588 is above the expected range $0 to $446,381,647 (learned from FY2010-2019, where a typical year was $144,776,561); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the $446,381,647 limit.",3.3264130055170464,
A_level,"Congo, Democratic Republic of",2021,680598472.5,389153250.29999995,124027151.77677,654279348.8232299,88375366.17440999,3.297810632261811,10,beyond_limits,medium,"Congo, Democratic Republic of FY2021: disbursement of $680,598,472 is above the expected range $124,027,152 to $654,279,349 (learned from FY2010-2019, where a typical year was $389,153,250); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the $654,279,349 limit.",3.297810632261811,
A_level,Sri Lanka,2023,337813762.9,182704085.2,39427081.56099993,325981088.83900005,47759001.21300002,3.2477579882424146,10,beyond_limits,medium,"Sri Lanka FY2023: disbursement of $337,813,763 is above the expected range $39,427,082 to $325,981,089 (learned from FY2010-2019, where a typical year was $182,704,085); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the $325,981,089 limit.",3.2477579882424146,
A_level,Mali,2026,326683356.7,160424323.7,6734081.108029962,314114566.29197,51230080.86399001,3.2453400462396043,10,beyond_limits,medium,"Mali FY2026: disbursement of $326,683,357 is above the expected range $6,734,081 to $314,114,566 (learned from FY2010-2019, where a typical year was $160,424,324); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the $314,114,566 limit.",3.2453400462396043,
A_level,Nigeria,2021,1390573158.0,819493219.3499999,289524142.56473947,1349462296.1352603,176656358.92842016,3.232716569695617,10,beyond_limits,medium,"Nigeria FY2021: disbursement of $1,390,573,158 is above the expected range $289,524,143 to $1,349,462,296 (learned from FY2010-2019, where a typical year was $819,493,219); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the $1,349,462,296 limit.",3.232716569695617,
A_level,Ethiopia,2024,1740575939.0,906647300.05,124527318.51109004,1688767281.5889099,260706660.51296997,3.19872395016357,10,beyond_limits,medium,"Ethiopia FY2024: disbursement of $1,740,575,939 is above the expected range $124,527,319 to $1,688,767,282 (learned from FY2010-2019, where a typical year was $906,647,300); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the $1,688,767,282 limit.",3.19872395016357,
A_level,Rwanda,2023,485324004.2,210111077.2,0.0,469846333.8193,86578418.8731,3.1787705363779626,10,beyond_limits,medium,"Rwanda FY2023: disbursement of $485,324,004 is above the expected range $0 to $469,846,334 (learned from FY2010-2019, where a typical year was $210,111,077); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the $469,846,334 limit.",3.1787705363779626,
A_level,Haiti,2026,155738082.9,76046764.6,266245.96151797473,151827283.238482,25260172.879494008,3.1548207797379226,10,beyond_limits,medium,"Haiti FY2026: disbursement of $155,738,083 is above the expected range $266,246 to $151,827,283 (learned from FY2010-2019, where a typical year was $76,046,765); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the $151,827,283 limit.",3.1548207797379226,
A_level,Pakistan,2026,1498233057.0,680802437.15,0.0,1471532179.4875698,263576580.77918994,3.101302162102174,10,beyond_limits,medium,"Pakistan FY2026: disbursement of $1,498,233,057 is above the expected range $0 to $1,471,532,179 (learned from FY2010-2019, where a typical year was $680,802,437); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the $1,471,532,179 limit.",3.101302162102174,
A_level,Kenya,2025,799278941.3,495859367.70000005,199603723.65669,792115011.7433101,98751881.34777002,3.0725447399980257,10,beyond_limits,medium,"Kenya FY2025: disbursement of $799,278,941 is above the expected range $199,603,724 to $792,115,012 (learned from FY2010-2019, where a typical year was $495,859,368); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the $792,115,012 limit.",3.0725447399980257,
